from	to	count
cmd/chainbench	internal/app	44
internal/chainsetup	internal/resource	38
internal/testengine	internal/dsl	26
internal/testengine	internal/chainsetup	23
internal/core	internal/preset	20
internal/mcp	internal/app	17
internal/chainsetup	internal/preset	16
cmd/chainbench	internal/mcp	9
internal/app	internal/resource	8
internal/testengine	internal/resource	8
cmd/chainbench	internal/accounts	6
internal/feature	internal/app	6
internal/testengine	internal/preset	5
internal/testhelper	internal/accounts	5
internal/core	internal/resource	5
cmd/chainbench	internal/preset	4
internal/testengine	internal/testhelper	4
internal/testhelper	internal/dsl	4
cmd/chainbench	internal/resource	3
cmd/chainbench	internal/chainsetup	3
cmd/chainbench	internal/dashboard	3
internal/app	internal/chainsetup	3
internal/resource	internal/testsupport	3
internal/consensus	internal/resource	3
internal/consensus	internal/preset	3
internal/chains	internal/accounts	3
cmd/chainbench	internal/feature	2
internal/app	internal/testengine	2
internal/app	internal/dsl	2
internal/chainsetup	internal/testsupport	2
internal/testengine	internal/nodemonitor	2
internal/core	internal/testsupport	2
scripts/inventory	internal/arch	2
cmd/chainbench-dashboard	internal/dashboard	1
cmd/chainbench	internal/testsupport	1
cmd/chainbench-mcp	internal/mcp	1
tests/e2e	internal/accounts	1
internal/app	internal/testsupport	1
internal/app	internal/validatorset	1
internal/app	internal/preset	1
internal/app	internal/accounts	1
internal/mcp	internal/resource	1
internal/mcp	internal/chainsetup	1
internal/testengine	internal/accounts	1
internal/testhelper	internal/preset	1
internal/validatorset	internal/preset	1
internal/dsl	internal/testhelper	1
internal/dsl	internal/accounts	1
internal/core	internal/accounts	1
